epoch=0,train accuracy=0.033707865,test accuracy=0.03649635,train loss=3.465653,test loss=3.4658453
epoch=2000,train accuracy=0.6813804,test accuracy=0.42822385,train loss=2.8539681,test loss=3.0942483
epoch=4000,train accuracy=0.6950241,test accuracy=0.4452555,train loss=2.8294904,test loss=3.0765002
epoch=6000,train accuracy=0.70866776,test accuracy=0.45255473,train loss=2.8124301,test loss=3.0651302
epoch=8000,train accuracy=0.7327448,test accuracy=0.46958637,train loss=2.7871616,test loss=3.0486279
epoch=10000,train accuracy=0.74077046,test accuracy=0.47201946,train loss=2.7780674,test loss=3.0423334
epoch=12000,train accuracy=0.7447833,test accuracy=0.47688565,train loss=2.7734113,test loss=3.041603
epoch=14000,train accuracy=0.7479936,test accuracy=0.47445256,train loss=2.7704284,test loss=3.042297
epoch=16000,train accuracy=0.74879616,test accuracy=0.47201946,train loss=2.7688324,test loss=3.0441494
epoch=18000,train accuracy=0.74879616,test accuracy=0.47201946,train loss=2.7684672,test loss=3.0435078
epoch=20000,train accuracy=0.74959874,test accuracy=0.46958637,train loss=2.7672372,test loss=3.0449953
epoch=22000,train accuracy=0.75120384,test accuracy=0.46715328,train loss=2.7654827,test loss=3.0482318
epoch=24000,train accuracy=0.7520064,test accuracy=0.47445256,train loss=2.764605,test loss=3.0471914
epoch=26000,train accuracy=0.7552167,test accuracy=0.4890511,train loss=2.7616038,test loss=3.0322354
epoch=28000,train accuracy=0.7568218,test accuracy=0.4890511,train loss=2.7602084,test loss=3.0298483
epoch=30000,train accuracy=0.7576244,test accuracy=0.4890511,train loss=2.7589052,test loss=3.0304523
epoch=32000,train accuracy=0.75842696,test accuracy=0.4890511,train loss=2.7581275,test loss=3.029495
epoch=34000,train accuracy=0.7600321,test accuracy=0.486618,train loss=2.7566044,test loss=3.0293972
epoch=36000,train accuracy=0.7616372,test accuracy=0.4890511,train loss=2.7553728,test loss=3.0292785
epoch=38000,train accuracy=0.7624398,test accuracy=0.4914842,train loss=2.754217,test loss=3.03031
epoch=40000,train accuracy=0.7624398,test accuracy=0.4914842,train loss=2.7539816,test loss=3.030167
epoch=42000,train accuracy=0.76404494,test accuracy=0.4890511,train loss=2.7524493,test loss=3.0298839
epoch=44000,train accuracy=0.7648475,test accuracy=0.4890511,train loss=2.751626,test loss=3.0315077
epoch=46000,train accuracy=0.76645267,test accuracy=0.4914842,train loss=2.7504027,test loss=3.0331259
epoch=48000,train accuracy=0.76645267,test accuracy=0.4914842,train loss=2.7495027,test loss=3.032143
