epoch=0,train accuracy=0.035313003,test accuracy=0.03406326,train loss=3.4660316,test loss=3.4658298
epoch=2000,train accuracy=0.6179775,test accuracy=0.40145984,train loss=2.915303,test loss=3.1238146
epoch=4000,train accuracy=0.62841094,test accuracy=0.40145984,train loss=2.8929048,test loss=3.1155028
epoch=6000,train accuracy=0.6364366,test accuracy=0.40632603,train loss=2.882633,test loss=3.1120641
epoch=8000,train accuracy=0.63804173,test accuracy=0.40632603,train loss=2.8792787,test loss=3.1113806
epoch=10000,train accuracy=0.641252,test accuracy=0.40875912,train loss=2.8754306,test loss=3.1100528
epoch=12000,train accuracy=0.64285713,test accuracy=0.40875912,train loss=2.8740284,test loss=3.1098716
epoch=14000,train accuracy=0.6444623,test accuracy=0.40875912,train loss=2.871772,test loss=3.1100526
epoch=16000,train accuracy=0.64526486,test accuracy=0.4111922,train loss=2.870703,test loss=3.107113
epoch=18000,train accuracy=0.64686996,test accuracy=0.4111922,train loss=2.8688838,test loss=3.1073544
epoch=20000,train accuracy=0.64767253,test accuracy=0.4136253,train loss=2.8677752,test loss=3.1046376
epoch=22000,train accuracy=0.6492777,test accuracy=0.4136253,train loss=2.8664553,test loss=3.1028373
epoch=24000,train accuracy=0.65008026,test accuracy=0.4160584,train loss=2.8654487,test loss=3.101906
epoch=26000,train accuracy=0.65088284,test accuracy=0.4160584,train loss=2.8645904,test loss=3.1014915
epoch=28000,train accuracy=0.6516854,test accuracy=0.4160584,train loss=2.8636503,test loss=3.1015701
epoch=30000,train accuracy=0.65248793,test accuracy=0.4136253,train loss=2.8631415,test loss=3.1022627
epoch=32000,train accuracy=0.65248793,test accuracy=0.4136253,train loss=2.8629477,test loss=3.102684
epoch=34000,train accuracy=0.65248793,test accuracy=0.4136253,train loss=2.8628006,test loss=3.1024423
epoch=36000,train accuracy=0.6532905,test accuracy=0.4136253,train loss=2.8619835,test loss=3.102587
epoch=38000,train accuracy=0.6532905,test accuracy=0.4160584,train loss=2.8618715,test loss=3.1022494
epoch=40000,train accuracy=0.65489566,test accuracy=0.4160584,train loss=2.860242,test loss=3.101843
epoch=42000,train accuracy=0.65489566,test accuracy=0.41849148,train loss=2.8599496,test loss=3.0990024
epoch=44000,train accuracy=0.6565008,test accuracy=0.42092457,train loss=2.8585596,test loss=3.0961514
epoch=46000,train accuracy=0.6565008,test accuracy=0.42092457,train loss=2.8584573,test loss=3.0959475
epoch=48000,train accuracy=0.6565008,test accuracy=0.42335767,train loss=2.8584044,test loss=3.0961602
epoch=50000,train accuracy=0.6565008,test accuracy=0.42335767,train loss=2.8582637,test loss=3.0961597
epoch=52000,train accuracy=0.67736757,test accuracy=0.42822385,train loss=2.8380408,test loss=3.0867767
epoch=54000,train accuracy=0.6797753,test accuracy=0.4379562,train loss=2.8355336,test loss=3.0820534
epoch=56000,train accuracy=0.6813804,test accuracy=0.4403893,train loss=2.8339112,test loss=3.0826952
epoch=58000,train accuracy=0.68298554,test accuracy=0.43309003,train loss=2.83256,test loss=3.0842333
epoch=60000,train accuracy=0.6845907,test accuracy=0.43552312,train loss=2.8307533,test loss=3.0831392
epoch=62000,train accuracy=0.6845907,test accuracy=0.43309003,train loss=2.8306718,test loss=3.0820806
epoch=64000,train accuracy=0.6845907,test accuracy=0.4379562,train loss=2.830634,test loss=3.0806067
epoch=66000,train accuracy=0.6845907,test accuracy=0.4379562,train loss=2.8305767,test loss=3.0805686
epoch=68000,train accuracy=0.6845907,test accuracy=0.4379562,train loss=2.8305845,test loss=3.0799997
epoch=70000,train accuracy=0.6853933,test accuracy=0.4379562,train loss=2.8297136,test loss=3.0794876
epoch=72000,train accuracy=0.6853933,test accuracy=0.4379562,train loss=2.8297033,test loss=3.0795813
epoch=74000,train accuracy=0.6853933,test accuracy=0.4379562,train loss=2.8296611,test loss=3.079632
epoch=76000,train accuracy=0.6853933,test accuracy=0.4379562,train loss=2.8296235,test loss=3.0799742
epoch=78000,train accuracy=0.6853933,test accuracy=0.43309003,train loss=2.8296008,test loss=3.0804224
epoch=80000,train accuracy=0.68619585,test accuracy=0.43309003,train loss=2.8285544,test loss=3.0811365
epoch=82000,train accuracy=0.68699837,test accuracy=0.43309003,train loss=2.8280792,test loss=3.0821412
epoch=84000,train accuracy=0.68699837,test accuracy=0.43309003,train loss=2.8280616,test loss=3.0819483
epoch=86000,train accuracy=0.68780094,test accuracy=0.43552312,train loss=2.8271503,test loss=3.0793943
epoch=88000,train accuracy=0.6886035,test accuracy=0.43552312,train loss=2.826359,test loss=3.0811005
epoch=90000,train accuracy=0.6902087,test accuracy=0.43552312,train loss=2.8252223,test loss=3.0827808
epoch=92000,train accuracy=0.6902087,test accuracy=0.4379562,train loss=2.8246527,test loss=3.0824342
epoch=94000,train accuracy=0.69101125,test accuracy=0.43552312,train loss=2.8239717,test loss=3.0804636
epoch=96000,train accuracy=0.6918138,test accuracy=0.4379562,train loss=2.8232138,test loss=3.079232
epoch=98000,train accuracy=0.6918138,test accuracy=0.4403893,train loss=2.8228722,test loss=3.0784729
epoch=100000,train accuracy=0.69261634,test accuracy=0.4403893,train loss=2.822364,test loss=3.0786548
epoch=102000,train accuracy=0.69261634,test accuracy=0.4403893,train loss=2.8223696,test loss=3.0788355
epoch=104000,train accuracy=0.69261634,test accuracy=0.4403893,train loss=2.8223083,test loss=3.0779514
epoch=106000,train accuracy=0.69261634,test accuracy=0.4403893,train loss=2.8220522,test loss=3.0774286
epoch=108000,train accuracy=0.71348315,test accuracy=0.4428224,train loss=2.8018448,test loss=3.0739079
epoch=110000,train accuracy=0.71348315,test accuracy=0.4428224,train loss=2.8018034,test loss=3.0744631
epoch=112000,train accuracy=0.71348315,test accuracy=0.4428224,train loss=2.8017778,test loss=3.074454
epoch=114000,train accuracy=0.71348315,test accuracy=0.4428224,train loss=2.8016973,test loss=3.0736492
epoch=116000,train accuracy=0.71428573,test accuracy=0.4428224,train loss=2.8009317,test loss=3.0740485
epoch=118000,train accuracy=0.71428573,test accuracy=0.4428224,train loss=2.8007288,test loss=3.0730214
epoch=120000,train accuracy=0.7150883,test accuracy=0.44768855,train loss=2.8004162,test loss=3.0696244
epoch=122000,train accuracy=0.717496,test accuracy=0.4622871,train loss=2.798112,test loss=3.060353
epoch=124000,train accuracy=0.72391653,test accuracy=0.459854,train loss=2.7917256,test loss=3.0578303
epoch=126000,train accuracy=0.7247191,test accuracy=0.459854,train loss=2.7908225,test loss=3.0570009
epoch=128000,train accuracy=0.7255217,test accuracy=0.4647202,train loss=2.7900195,test loss=3.054419
epoch=130000,train accuracy=0.72632426,test accuracy=0.46715328,train loss=2.7890267,test loss=3.0516045
epoch=132000,train accuracy=0.7271268,test accuracy=0.46715328,train loss=2.7883997,test loss=3.0514917
epoch=134000,train accuracy=0.72792935,test accuracy=0.46715328,train loss=2.7879329,test loss=3.0505862
epoch=136000,train accuracy=0.72792935,test accuracy=0.46715328,train loss=2.787518,test loss=3.052075
epoch=138000,train accuracy=0.72792935,test accuracy=0.46715328,train loss=2.7874358,test loss=3.0519726
epoch=140000,train accuracy=0.72792935,test accuracy=0.46715328,train loss=2.7873876,test loss=3.0513694
epoch=142000,train accuracy=0.72873193,test accuracy=0.46715328,train loss=2.7868176,test loss=3.05112
epoch=144000,train accuracy=0.72873193,test accuracy=0.46715328,train loss=2.7866216,test loss=3.0523777
epoch=146000,train accuracy=0.72873193,test accuracy=0.46715328,train loss=2.7865756,test loss=3.0515072
epoch=148000,train accuracy=0.72873193,test accuracy=0.4647202,train loss=2.7865217,test loss=3.0534635
epoch=150000,train accuracy=0.72873193,test accuracy=0.4647202,train loss=2.7863376,test loss=3.0538692
epoch=152000,train accuracy=0.7295345,test accuracy=0.4647202,train loss=2.7857754,test loss=3.0542383
epoch=154000,train accuracy=0.7295345,test accuracy=0.4647202,train loss=2.7857552,test loss=3.0536819
epoch=156000,train accuracy=0.7295345,test accuracy=0.4647202,train loss=2.7857342,test loss=3.054708
epoch=158000,train accuracy=0.7295345,test accuracy=0.4647202,train loss=2.7857466,test loss=3.0538237
epoch=160000,train accuracy=0.7295345,test accuracy=0.46715328,train loss=2.7857172,test loss=3.05355
epoch=162000,train accuracy=0.7295345,test accuracy=0.4647202,train loss=2.7857223,test loss=3.0541246
epoch=164000,train accuracy=0.7295345,test accuracy=0.4647202,train loss=2.785759,test loss=3.05468
epoch=166000,train accuracy=0.7295345,test accuracy=0.4622871,train loss=2.7857232,test loss=3.0539808
epoch=168000,train accuracy=0.7295345,test accuracy=0.4622871,train loss=2.7856665,test loss=3.0550213
epoch=170000,train accuracy=0.7295345,test accuracy=0.4622871,train loss=2.7856781,test loss=3.0550866
epoch=172000,train accuracy=0.7295345,test accuracy=0.4647202,train loss=2.785649,test loss=3.0547905
epoch=174000,train accuracy=0.7303371,test accuracy=0.4622871,train loss=2.7849197,test loss=3.0560017
epoch=176000,train accuracy=0.73113966,test accuracy=0.46715328,train loss=2.7841089,test loss=3.0538766
epoch=178000,train accuracy=0.73194224,test accuracy=0.46715328,train loss=2.7838051,test loss=3.0529697
epoch=180000,train accuracy=0.73194224,test accuracy=0.46715328,train loss=2.7833543,test loss=3.0540555
epoch=182000,train accuracy=0.73194224,test accuracy=0.46715328,train loss=2.783308,test loss=3.0556438
epoch=184000,train accuracy=0.73194224,test accuracy=0.46715328,train loss=2.7828507,test loss=3.0533004
epoch=186000,train accuracy=0.73354733,test accuracy=0.46715328,train loss=2.781707,test loss=3.0541039
epoch=188000,train accuracy=0.73354733,test accuracy=0.46958637,train loss=2.7817154,test loss=3.054845
epoch=190000,train accuracy=0.7351525,test accuracy=0.46715328,train loss=2.7802312,test loss=3.0563858
epoch=192000,train accuracy=0.7351525,test accuracy=0.46715328,train loss=2.780026,test loss=3.0550478
epoch=194000,train accuracy=0.73595506,test accuracy=0.46958637,train loss=2.7791116,test loss=3.0534873
epoch=196000,train accuracy=0.73675764,test accuracy=0.46715328,train loss=2.778587,test loss=3.0534704
epoch=198000,train accuracy=0.73675764,test accuracy=0.46715328,train loss=2.7785752,test loss=3.053004
epoch=200000,train accuracy=0.7375602,test accuracy=0.4622871,train loss=2.7777705,test loss=3.0576992
epoch=202000,train accuracy=0.7375602,test accuracy=0.459854,train loss=2.7777765,test loss=3.0579703
epoch=204000,train accuracy=0.7383628,test accuracy=0.45742092,train loss=2.77701,test loss=3.0598319
epoch=206000,train accuracy=0.7391653,test accuracy=0.45012164,train loss=2.77624,test loss=3.0612488
epoch=208000,train accuracy=0.7391653,test accuracy=0.45498782,train loss=2.776172,test loss=3.0602002
epoch=210000,train accuracy=0.7391653,test accuracy=0.45742092,train loss=2.7761273,test loss=3.0598478
epoch=212000,train accuracy=0.7391653,test accuracy=0.45498782,train loss=2.7762022,test loss=3.0593097
epoch=214000,train accuracy=0.7391653,test accuracy=0.45255473,train loss=2.7761555,test loss=3.0597434
epoch=216000,train accuracy=0.7391653,test accuracy=0.45012164,train loss=2.7761452,test loss=3.061295
epoch=218000,train accuracy=0.7391653,test accuracy=0.45498782,train loss=2.7761214,test loss=3.0592556
epoch=220000,train accuracy=0.7391653,test accuracy=0.45498782,train loss=2.776159,test loss=3.0599754
epoch=222000,train accuracy=0.7391653,test accuracy=0.45255473,train loss=2.7761352,test loss=3.0620346
epoch=224000,train accuracy=0.7391653,test accuracy=0.45255473,train loss=2.7761085,test loss=3.0608172
epoch=226000,train accuracy=0.7391653,test accuracy=0.45255473,train loss=2.7761219,test loss=3.0611703
epoch=228000,train accuracy=0.7391653,test accuracy=0.45742092,train loss=2.7761154,test loss=3.0595014
epoch=230000,train accuracy=0.7391653,test accuracy=0.45498782,train loss=2.7761235,test loss=3.0598025
epoch=232000,train accuracy=0.7391653,test accuracy=0.45498782,train loss=2.7761035,test loss=3.0592656
epoch=234000,train accuracy=0.7391653,test accuracy=0.45498782,train loss=2.7761202,test loss=3.0601275
epoch=236000,train accuracy=0.7391653,test accuracy=0.45742092,train loss=2.7760708,test loss=3.0597513
epoch=238000,train accuracy=0.7391653,test accuracy=0.45742092,train loss=2.7756748,test loss=3.0565429
epoch=240000,train accuracy=0.7399679,test accuracy=0.4622871,train loss=2.7752426,test loss=3.053276
epoch=242000,train accuracy=0.7399679,test accuracy=0.4622871,train loss=2.7752402,test loss=3.0539289
epoch=244000,train accuracy=0.7399679,test accuracy=0.45742092,train loss=2.7752318,test loss=3.054657
epoch=246000,train accuracy=0.7399679,test accuracy=0.459854,train loss=2.7752626,test loss=3.0541093
epoch=248000,train accuracy=0.7399679,test accuracy=0.45742092,train loss=2.7752378,test loss=3.0547838
epoch=250000,train accuracy=0.7399679,test accuracy=0.459854,train loss=2.7752454,test loss=3.0561056
epoch=252000,train accuracy=0.7399679,test accuracy=0.45742092,train loss=2.7752616,test loss=3.0561256
epoch=254000,train accuracy=0.7399679,test accuracy=0.45742092,train loss=2.7752526,test loss=3.0561721
epoch=256000,train accuracy=0.7399679,test accuracy=0.45742092,train loss=2.775222,test loss=3.0549393
epoch=258000,train accuracy=0.7399679,test accuracy=0.45742092,train loss=2.775235,test loss=3.055842
epoch=260000,train accuracy=0.7399679,test accuracy=0.459854,train loss=2.7752259,test loss=3.0536032
epoch=262000,train accuracy=0.7399679,test accuracy=0.4622871,train loss=2.7752335,test loss=3.0535395
epoch=264000,train accuracy=0.7399679,test accuracy=0.4622871,train loss=2.775204,test loss=3.0531697
epoch=266000,train accuracy=0.7399679,test accuracy=0.459854,train loss=2.7752252,test loss=3.055072
epoch=268000,train accuracy=0.7399679,test accuracy=0.459854,train loss=2.7752252,test loss=3.0544825
epoch=270000,train accuracy=0.7399679,test accuracy=0.459854,train loss=2.7751834,test loss=3.054025
epoch=272000,train accuracy=0.7399679,test accuracy=0.459854,train loss=2.7752185,test loss=3.0550888
epoch=274000,train accuracy=0.7399679,test accuracy=0.459854,train loss=2.7751956,test loss=3.0535104
epoch=276000,train accuracy=0.7399679,test accuracy=0.459854,train loss=2.7752068,test loss=3.0539768
epoch=278000,train accuracy=0.7399679,test accuracy=0.459854,train loss=2.7751956,test loss=3.0543613
epoch=280000,train accuracy=0.7399679,test accuracy=0.459854,train loss=2.7751927,test loss=3.0546792
epoch=282000,train accuracy=0.7399679,test accuracy=0.4647202,train loss=2.775204,test loss=3.0523365
